PERIOD_START_TIME,SITE,ENODEB,CELL,VoLTE Access Failure Rate (GCR),VoLTE Erlangs
4/16/2021,A3A0138B,LA3A0138B,EA3A0138B31,0.040411,67.594167
4/16/2021,A3A0138B,LA3A0138B2,TA3A0138B21,0.542303,95.2425
4/16/2021,A3A0138B,LA3A0138B,BA3A0138B21,0.200183,115.116667
4/16/2021,A3A0138B,LA3A0138B,EA3A0138B11,0.032357,28.963889
4/16/2021,A3A0138B,LA3A0138B,EA3A0138B21,1.423697,19.307222
4/16/2021,A3A0138B,LA3A0138B,BA3A0138B31,0.244748,147.329722
4/16/2021,A3A0138B,LA3A0138B2,TA3A0138B11,0.292775,29.518611
4/16/2021,A3A0138B,LA3A0138B,DA3A0138B21,0,1.455556
4/16/2021,A3A0138B,LA3A0138B,FA3A0138B21,0.233335,34.763056
4/16/2021,A3A0138B,LA3A0138B,LA3A0138B31,0.172964,63.248611
4/16/2021,A3A0138B,LA3A0138B,FA3A0138B31,0.441581,22.808333
4/16/2021,A3A0138B,LA3A0138B2,TA3A0138B22,0.484185,86.858333
4/16/2021,A3A0138B,LA3A0138B2,TA3A0138B12,0.368977,37.138611
4/17/2021,A3A0138B,LA3A0138B,LA3A0138B11,0.237488,39.241944
4/17/2021,A3A0138B,LA3A0138B2,TA3A0138B11,0.211919,24.51
4/17/2021,A3A0138B,LA3A0138B,DA3A0138B31,0.040096,6.892778
4/17/2021,A3A0138B,LA3A0138B,FA3A0138B11,0.398057,11.438056
4/17/2021,A3A0138B,LA3A0138B,FA3A0138B21,0.56447,34.844722
4/17/2021,A3A0138B,LA3A0138B2,TA3A0138B32,0.996044,21.446667
4/17/2021,A3A0138B,LA3A0138B,FA3A0138B31,0.076547,22.001944
4/17/2021,A3A0138B,LA3A0138B,DA3A0138B21,0.089767,3.37
4/17/2021,A3A0138B,LA3A0138B,EA3A0138B11,0.032536,24.013056
4/17/2021,A3A0138B,LA3A0138B,EA3A0138B31,0.769735,49.875833
4/17/2021,A3A0138B,LA3A0138B,DA3A0138B11,0,1.740556
4/17/2021,A3A0138B,LA3A0138B,BA3A0138B11,0.012662,42.990833
4/17/2021,A3A0138B,LA3A0138B2,TA3A0138B31,0.818081,21.955833
4/17/2021,A3A0138B,LA3A0138B,BA3A0138B31,0.365309,107.812222
4/17/2021,A3A0138B,LA3A0138B2,TA3A0138B22,0.261278,77.720833
4/17/2021,A3A0138B,LA3A0138B,LA3A0138B31,0.362392,56.295556
4/17/2021,A3A0138B,LA3A0138B2,TA3A0138B12,0.068429,29.764722
4/17/2021,A3A0138B,LA3A0138B,EA3A0138B21,0.083589,19.483889
4/17/2021,A3A0138B,LA3A0138B,LA3A0138B21,0.05513,89.09
4/17/2021,A3A0138B,LA3A0138B,BA3A0138B21,0.358641,90.53
4/17/2021,A3A0138B,LA3A0138B2,TA3A0138B21,0.264765,91.295278
4/18/2021,A3A0138B,LA3A0138B,LA3A0138B11,0.008384,27.414444
4/18/2021,A3A0138B,LA3A0138B,BA3A0138B21,0.3136,92.884722
4/18/2021,A3A0138B,LA3A0138B,BA3A0138B11,0.020001,42.236111
4/18/2021,A3A0138B,LA3A0138B2,TA3A0138B31,1.010527,24.136111
4/18/2021,A3A0138B,LA3A0138B,EA3A0138B11,2.591418,13.795278
4/18/2021,A3A0138B,LA3A0138B,DA3A0138B21,0,2.666944
4/18/2021,A3A0138B,LA3A0138B,FA3A0138B11,0.046551,8.459444
4/18/2021,A3A0138B,LA3A0138B2,TA3A0138B22,0.396635,80.149444
4/18/2021,A3A0138B,LA3A0138B2,TA3A0138B11,0.3482,19.684167
4/18/2021,A3A0138B,LA3A0138B,FA3A0138B21,0.00856,28.078889
4/18/2021,A3A0138B,LA3A0138B,FA3A0138B31,0.429632,15.100556
4/18/2021,A3A0138B,LA3A0138B2,TA3A0138B32,0.408165,28.113611
4/18/2021,A3A0138B,LA3A0138B2,TA3A0138B12,0.16495,21.809444
4/18/2021,A3A0138B,LA3A0138B,LA3A0138B31,0.362711,58.7275
4/18/2021,A3A0138B,LA3A0138B,BA3A0138B31,0.134768,105.273333
4/18/2021,A3A0138B,LA3A0138B,EA3A0138B31,0.043668,40.751389
4/18/2021,A3A0138B,LA3A0138B2,TA3A0138B21,0.206394,81.227222
4/18/2021,A3A0138B,LA3A0138B,EA3A0138B21,0.049366,17.861389
4/18/2021,A3A0138B,LA3A0138B,DA3A0138B31,9.589277,4.572222
4/18/2021,A3A0138B,LA3A0138B,LA3A0138B21,0.243481,73.181667
4/18/2021,A3A0138B,LA3A0138B,DA3A0138B11,0.067204,1.016389
4/19/2021,A3A0138B,LA3A0138B,DA3A0138B31,1.851852,6.809444
4/19/2021,A3A0138B,LA3A0138B,FA3A0138B21,0.040923,43.592222
4/19/2021,A3A0138B,LA3A0138B2,TA3A0138B21,0.441332,117.823611
4/19/2021,A3A0138B,LA3A0138B,BA3A0138B31,0.11381,131.536389
4/19/2021,A3A0138B,LA3A0138B,LA3A0138B21,0.186584,120.465278
4/19/2021,A3A0138B,LA3A0138B2,TA3A0138B31,0.335009,24.943056
4/19/2021,A3A0138B,LA3A0138B,BA3A0138B21,0.686821,121.426667
4/19/2021,A3A0138B,LA3A0138B,EA3A0138B31,0.03064,65.210833
4/19/2021,A3A0138B,LA3A0138B,EA3A0138B11,0.067249,22.804722
4/19/2021,A3A0138B,LA3A0138B,DA3A0138B21,0,2.265278
4/19/2021,A3A0138B,LA3A0138B,FA3A0138B11,0.01529,16.712222
4/19/2021,A3A0138B,LA3A0138B,FA3A0138B31,0.041086,27.003333
4/19/2021,A3A0138B,LA3A0138B,LA3A0138B11,0.006683,60.501944
4/19/2021,A3A0138B,LA3A0138B2,TA3A0138B32,0.897372,30.139167
4/19/2021,A3A0138B,LA3A0138B,LA3A0138B31,0.098893,66.854444
4/19/2021,A3A0138B,LA3A0138B,DA3A0138B11,0,1.405278
4/19/2021,A3A0138B,LA3A0138B2,TA3A0138B12,0.464745,42.181944
4/19/2021,A3A0138B,LA3A0138B2,TA3A0138B22,0.385866,96.639167
4/19/2021,A3A0138B,LA3A0138B2,TA3A0138B11,0.304802,38.061389
4/19/2021,A3A0138B,LA3A0138B,EA3A0138B21,0.015466,23.289722
4/19/2021,A3A0138B,LA3A0138B,BA3A0138B11,0.015663,55.940833
4/20/2021,A3A0138B,LA3A0138B,EA3A0138B31,0.373288,69.371389
4/20/2021,A3A0138B,LA3A0138B,EA3A0138B11,0.018308,23.453056
4/20/2021,A3A0138B,LA3A0138B,DA3A0138B31,0.018073,9.226944
4/20/2021,A3A0138B,LA3A0138B,BA3A0138B11,0.016046,57.9325
4/20/2021,A3A0138B,LA3A0138B,FA3A0138B11,0.014723,18.438611
4/20/2021,A3A0138B,LA3A0138B2,TA3A0138B22,0.248848,94.098889
4/20/2021,A3A0138B,LA3A0138B,FA3A0138B31,0.442951,23.199167
4/20/2021,A3A0138B,LA3A0138B,FA3A0138B21,0.253951,38.881667
4/20/2021,A3A0138B,LA3A0138B,LA3A0138B31,0.103144,68.638056
4/20/2021,A3A0138B,LA3A0138B,DA3A0138B21,0.084818,4.620278
4/20/2021,A3A0138B,LA3A0138B,LA3A0138B21,0.125522,105.744722
4/20/2021,A3A0138B,LA3A0138B,EA3A0138B21,0.874991,21.196667
4/20/2021,A3A0138B,LA3A0138B,DA3A0138B11,0.136986,2.626111
4/20/2021,A3A0138B,LA3A0138B2,TA3A0138B31,0.787282,26.190833
4/20/2021,A3A0138B,LA3A0138B,BA3A0138B21,0.333046,107.636389
4/20/2021,A3A0138B,LA3A0138B2,TA3A0138B12,0.681342,37.770556
4/20/2021,A3A0138B,LA3A0138B,LA3A0138B11,0.006214,49.8775
4/20/2021,A3A0138B,LA3A0138B,BA3A0138B31,0.045876,154.446111
4/20/2021,A3A0138B,LA3A0138B2,TA3A0138B11,0.401523,35.237778
4/20/2021,A3A0138B,LA3A0138B2,TA3A0138B21,0.421379,94.262222
4/20/2021,A3A0138B,LA3A0138B2,TA3A0138B32,0.517869,32.606667
